Material,Descripcio,Format_UMA,ZCE_per_unitat,ZCE_per_palet,Unitats_per_palet
0AM2737,ORLANDO TOMATE TRITURADO 800G 1U,UN,0.1,,
0AM2950,SAL COSTA SALERO 250G,UN,0.03,,
0AM3164,CARMENCITA COMINO MOLIDO 440G,UN,0.05,,
0AM3359,BARGALLO VINAGRE VINO BLANCO 2L,UN,0.26,,
0AM3360,BARGALLO VINAGRE DE JEREZ 25CL,UN,0.03,,
0AM3376,BARGALLO ACEITE ALTO RENDIMIENTO 20L,UN,2.6,117.0,45.0
0AM3409,FERRER CALDO DE POLLO 94CL,UN,0.12,33.36,278.0
0AM3411,FERRER CALDO DE ESCUDELLA 94CL,UN,0.12,33.36,278.0
0AM3412,FERRER FUMETE DE PESCADO 94CL,UN,0.12,33.36,278.0
0AM3444,TOT SNACK PATATA PALITO CUBO 500G,CAJ,0.07,,
0AM3474,SAL GARCIA SALERO 200G 10U,CAJ,0.26,14.3,55.0
0AM3562,CHOVI MAYONESA CLASICA 2KG,UN,0.26,,
0AM3565,BARGALLO ACEITE GOURMET SOL GIRASOL 20L,UN,2.6,117.0,45.0
0AM3587,DDI AZUCAR BLANCO 6G 1000U,CAJ,0.78,63.18,81.0
0AM3587,DDI AZUCAR BLANCO 6G 1000U,ZPR,0.78,63.18,81.0
0AM3588,DDI AZUCAR MORENO 6G 1000U,CAJ,0.91,73.71,81.0
0AM3667,FAISAN PIÑONES 5KG,UN,0.13,,
0AM3669,GANCEDO ALMENDRA TOSTADA SIN SAL 1KG,UN,0.13,18.72,144.0
0AM3864,FRIMASOL ACEITE GIRASOL 25L,UN,3.25,97.5,30.0
0AM3928,HELIOS MERMELADA FRESA 25G  80U,CAJ,0.26,,
0AM3929,VERIMAR ATUN RALLADO A.GIRASOL RO-800,UN,0.1,64.8,648.0
0AM3935,HELIOS MIEL MILFLORES 28G 24U,CAJ,0.1,,
0AM3940,HELIOS MERMELADA FRESA 25G 250U,CAJ,0.81,,
0AM3966,HELIOS MERMELADA MELOCOTON 25G  80U,CAJ,0.26,,
0AM3967,BAYO ARROZ SUSHI 5KG,UN,0.65,109.2,168.0
0AM3979,LOTUS BISCOFF BISCUITS CRUMB 750G,UN,0.1,,
0AM3989,SABOR DEL SUR ACEITE DE OLIVA SUAVE 5L,UN,0.65,109.2,168.0
0AM4005,BORNIER MOSTAZA SABOR INTENSO DIJON 1KG,UN,0.13,43.68,336.0
0AM4008,"CARRETILLA MAGRO DE CERDO 1,8KG 2U",CAJ,0.46,,
0AM4009,"CARRETILLA PIES CERDO SALSA 1,9KG 2U",CAJ,0.49,,
0AM4012,LA COCHURA ALUBIA BLANCA 5KG,UN,0.65,0.65,1.0
0AM4014,GOYA LECHE DE COCO 40CL,UN,0.05,,
0AM4158,SABOR DEL SUR ACEITE VIRGEN EXTRA 5L,UN,0.65,109.2,168.0
0AM4184,LA FRAGUA ESPARRAGOS 13/16 EXTRA 1KG,UN,0.13,,
0AM4220,AVECREM CALDO POLLO S/GLUTEN 1KG,UN,0.13,,
0AM4297,LA FRAGUA PISTO VERDURAS 3KG,UN,0.39,,
0AM4347,LA FRAGUA PIMIENTO ROJO TIRAS 3KG,UN,0.39,,
